idx,tag,num_faces,maxIoU,meanCov,maxCov,anyCover,score,overlap,area,face_inside_penalty,face_conflict_penalty,svg_penalty
85,improved_top,1,0.17424464225769043,0.0,0.0,0.0,0.28869234927697107,0.028869234927697107,0.222080260515213,0.0,0.0,0.0
86,improved_top,1,0.20912578701972961,0.4214088022708893,0.4214088022708893,1.0,0.40356002282351255,0.03015130991116166,0.10992047190666199,0.0,0.005102346185594797,0.0
87,improved_top,1,0.20905403792858124,0.0,0.0,0.0,0.45487940497696416,0.04052208084613085,0.2292548269033432,0.0,0.0,0.0
88,improved_top,1,0.21534591913223267,0.0,0.0,0.0,0.4891177564859392,0.025276534259319305,0.1810392290353775,0.0,0.0,0.0
89,improved_top,1,0.13881587982177734,0.0,0.0,0.0,0.3925864351913333,0.025579735171049833,0.23187655210494995,0.0,0.0,0.04559636116027832
90,improved_top,1,0.14700445532798767,0.0,0.0,0.0,0.17596082761883736,0.017596082761883736,0.1733168065547943,0.0,0.0,0.0
91,improved_top,1,0.17597660422325134,0.0,0.0,0.0,0.2735357917845249,0.027353579178452492,0.2166098654270172,0.0,0.0,0.0
92,improved_top,1,0.1445838212966919,0.0,0.0,0.0,0.20796451717615128,0.020796451717615128,0.18843691051006317,0.0,0.0,0.0
93,improved_top,1,0.1612597554922104,0.0,0.0,0.0,0.31891862116754055,0.03052168246358633,0.2350989133119583,0.0,0.0,0.004567265510559082
94,improved_top,1,0.13744677603244781,0.0,0.0,0.0,0.4227167852222921,0.02160903997719288,0.2083306610584259,0.0,0.0,0.0
95,improved_top,1,0.15852712094783783,0.0,0.0,0.0,0.16662390902638435,0.016662390902638435,0.16093850135803223,0.0,0.0,0.0
96,improved_top,1,0.1894298940896988,0.0,0.0,0.0,1.3659486368836953,0.06220965639295173,0.3042270243167877,0.0,0.0,0.12317991256713867
97,improved_top,1,0.14129459857940674,0.0,0.0,0.0,0.15761513262987137,0.015761513262987137,0.14996296167373657,0.0,0.0,0.0
98,improved_top,1,0.1749485433101654,0.01311939861625433,0.01311939861625433,1.0,0.39782300940714777,0.03900769737083465,0.2428680956363678,0.0,0.00038730178494006395,0.0
99,improved_top,1,0.1562749743461609,0.0,0.0,0.0,0.20116234198212624,0.020116234198212624,0.19594626128673553,0.0,0.0,0.0
100,improved_top,1,0.22983235120773315,0.0,0.0,0.0,1.4141341768205167,0.052202990278601646,0.3330000340938568,0.0,0.0,0.0
101,improved_top,1,0.1762983351945877,0.0,0.0,0.0,0.21235760301351547,0.021235760301351547,0.17863184213638306,0.0,0.0,0.0
102,improved_top,1,0.15744757652282715,0.0,0.0,0.0,0.26842767372727394,0.026842767372727394,0.2114035040140152,0.0,0.0,0.0
103,improved_top,1,0.213415265083313,0.0,0.0,0.0,0.43736689686775215,0.03514707088470459,0.2267669439315796,0.0,0.0,0.0
104,improved_top,1,0.1900956928730011,0.0,0.0,0.0,1.205293070152402,0.037706282921135426,0.23065008223056793,0.0,0.0,0.0
105,improved_top,1,0.16289344429969788,0.0,0.0,0.0,0.1876675449311735,0.016395216807723045,0.16123050451278687,0.0,0.0,0.0
106,improved_top,1,0.19541223347187042,0.0,0.0,0.0,0.24790228530764596,0.014218015596270561,0.11468035727739334,0.0,0.0,0.0
107,improved_top,1,0.1469486802816391,0.0,0.0,0.0,2.4394218526780604,0.020853200927376747,0.16311325132846832,0.0,0.0,0.0
108,improved_top,1,0.15536992251873016,0.0,0.0,0.0,0.285850684158504,0.0285850684158504,0.21751603484153748,0.0,0.0,0.0
109,improved_top,1,0.20034195482730865,0.0,0.0,0.0,0.29426781460642815,0.029426781460642815,0.18952128291130066,0.0,0.0,0.0
110,improved_top,1,0.16158413887023926,0.0,0.0,0.0,1.5436328664422037,0.027213294059038162,0.26052138209342957,0.0,0.0,0.0
111,improved_top,1,0.18636144697666168,0.0,0.0,0.0,0.5393344461917879,0.030995845794677734,0.2516794502735138,0.0,0.0,0.0
112,improved_top,1,0.20387908816337585,0.0,0.0,0.0,0.3945850744843482,0.022540394216775894,0.14583687484264374,0.0,0.0,0.0
113,improved_top,1,0.19103281199932098,0.0,0.0,0.0,0.6197188330115753,0.025784037832636386,0.19391733407974243,0.0,0.0,0.0
114,improved_top,1,0.18304593861103058,0.0,0.0,0.0,0.3086692525539547,0.030866925255395472,0.26188206672668457,0.0,0.0,0.0
115,improved_top,1,0.23135246336460114,0.0,0.0,0.0,0.4956499040126802,0.03320769965648651,0.23844647407531738,0.0,0.0,0.0
116,improved_top,1,0.16378620266914368,0.0,0.0,0.0,0.26130482330918303,0.018806690350174904,0.1764386147260666,0.0,0.0,0.0
117,improved_top,1,0.1464546173810959,0.0,0.0,0.0,0.2913982905447485,0.025533312931656837,0.23463916778564453,0.0,0.0,0.0
118,improved_top,1,0.18683892488479614,0.0,0.0,0.0,0.9791007786989212,0.05668634921312332,0.3134904205799103,0.0,0.0,0.137412428855896
119,improved_top,1,0.1380622237920761,0.0,0.0,0.0,0.2327663078904152,0.02327663078904152,0.15824440121650696,0.0,0.0,0.0
120,improved_top,1,0.17911900579929352,0.0,0.0,0.0,1.3419361557811502,0.01487032976001501,0.14466871321201324,0.0,0.0,0.0
121,improved_top,1,0.17314574122428894,0.0,0.0,0.0,0.9373864204157143,0.027428192202933133,0.19921185076236725,0.0,0.0,0.16752231121063232
122,improved_top,1,0.25245654582977295,0.7058725357055664,0.7058725357055664,1.0,1.4446540013886988,0.10718333185650408,0.2588750720024109,0.0,0.0186410341411829,0.0
123,improved_top,1,0.20129787921905518,0.0,0.0,0.0,0.36004676949232817,0.03600467694923282,0.2710910737514496,0.0,0.0,0.0
124,improved_top,1,0.2062208652496338,0.0,0.0,0.0,0.6077670139260591,0.02146521699614823,0.18158936500549316,0.0,0.0,0.0
125,improved_top,1,0.15007685124874115,0.0,0.0,0.0,0.31159098201896995,0.031159098201896995,0.28824660181999207,0.0,0.0,0.0
126,improved_top,1,0.14854483306407928,0.0,0.0,0.0,0.186807531863451,0.0186807531863451,0.16335171461105347,0.0,0.0,0.0
127,improved_top,1,0.16550952196121216,0.0,0.0,0.0,1.4243380439933393,0.029719421989284456,0.27713796496391296,0.0,0.0,0.0
128,improved_top,1,0.18120533227920532,0.0,0.0,0.0,1.9036945044994356,0.030203193426132202,0.23478779196739197,0.0,0.0,0.0
129,improved_top,1,0.21794798970222473,0.0,0.0,0.0,1.359947193786502,0.050761218182742596,0.33376821875572205,0.0,0.0,0.0
130,improved_top,1,0.14601746201515198,0.0,0.0,0.0,0.18047813326120377,0.018047813326120377,0.15283307433128357,0.0,0.0,0.0
131,improved_top,1,0.22974087297916412,0.0,0.0,0.0,1.5955951154232026,0.023351266980171204,0.1569024622440338,0.0,0.0,0.0
132,improved_top,1,0.2215776890516281,0.0,0.0,0.0,0.9888290889561178,0.03020038641989231,0.2040393054485321,0.0,0.0,0.0
133,improved_top,1,0.16296514868736267,0.0,0.0,0.0,0.21443087607622147,0.021443087607622147,0.1833038330078125,0.0,0.0,0.0
134,improved_top,1,0.21388135850429535,0.0,0.0,0.0,0.3291439637541771,0.03291439637541771,0.20876562595367432,0.0,0.0,0.0
135,improved_top,1,0.159073606133461,0.0,0.0,0.0,1.34760685460642,0.029062508838251233,0.23863224685192108,0.0,0.0,0.0
