index,WR,LWR,DWS,num_cc,L,R,T,B,S_frame,S_side,S_tb,S_pos
503,0.7169189453125,0.7169189453125,0.9324651290050797,1.0,0.493497759103775,0.0,0.4416917562484741,0.0,0.11654049903154373,0.9324651420116425,0.8443949371576309,0.9324651420116425
504,0.7271728515625,0.7271728515625,0.8777772603917497,1.0,0.2176174521446228,0.0,0.475564181804657,0.0,0.07538171857595444,0.43926783204078673,0.8777772724628449,0.8777772724628449
505,0.94781494140625,0.94781494140625,0.9499766607192275,1.0,0.5015349388122559,0.045432090759277344,0.41873204708099365,0.41686248779296875,0.2573075294494629,0.949976670742035,0.4749243974685669,0.949976670742035
506,0.6510009765625,0.6510009765625,0.41599457966043424,1.0,0.22101238369941711,0.0,0.181722953915596,0.0,0.04986506327986717,0.41599458605051043,0.34920255541801454,0.41599458605051043
507,0.70654296875,0.70654296875,0.9324900077924481,1.0,0.49544328451156616,0.0,0.4069210886955261,0.0,0.11171521991491318,0.9324900209903717,0.7820022881031037,0.9324900209903717
508,0.72113037109375,0.72113037109375,0.34007813607932724,1.0,0.17978085577487946,0.0,0.16472600400447845,0.0,0.04298119992017746,0.3400781407952309,0.31448489278554914,0.3400781407952309
509,0.648193359375,0.648193359375,0.6159964347220293,1.0,0.2721219062805176,0.0,0.3271023631095886,0.0,0.07427509129047394,0.5225296676158905,0.6159964442253114,0.6159964442253114
510,0.7015380859375,0.7015380859375,0.9336111650900712,1.0,0.5013850331306458,0.0,0.3111811876296997,0.0,0.09615011513233185,0.9336111783981323,0.610264641046524,0.9336111783981323
511,0.6368408203125,0.6368408203125,0.4524829778549602,1.0,0.22281630337238312,0.0,0.23900075256824493,0.0,0.05765627697110176,0.4249694213271141,0.4524829849600792,0.4524829849600792
512,0.6976318359375,0.6976318359375,0.4392487641791043,1.0,0.20354750752449036,0.0,0.23271889984607697,0.0,0.05429002642631531,0.3896574035286904,0.4392487704753876,0.4392487704753876
513,0.805419921875,0.805419921875,0.9364078047837344,1.0,0.5012027025222778,0.0,0.342429518699646,0.0,0.10178276151418686,0.9364078164100648,0.6664934039115905,0.9364078164100648
514,0.6796875,0.6796875,0.9278325659618619,1.0,0.49604445695877075,0.0,0.3495255708694458,0.0,0.10256895422935486,0.9278325796127319,0.6787504732608796,0.9278325796127319
515,0.704345703125,0.704345703125,0.34508117543477573,1.0,0.14560797810554504,0.0,0.18362243473529816,0.0,0.04060874879360199,0.2804566040635109,0.3450811803340912,0.3450811803340912
516,0.68707275390625,0.68707275390625,0.9110026614396419,1.0,0.4874779284000397,0.0,0.3354240357875824,0.0,0.09940871596336365,0.9110026746988297,0.6525110572576522,0.9110026746988297
517,0.6832275390625,0.6832275390625,0.907562063761988,1.0,0.48307159543037415,0.0,0.3803320527076721,0.0,0.10640796273946762,0.9075620770454407,0.7329048544168473,0.9075620770454407
518,0.74609375,0.74609375,0.9522886685050324,1.0,0.4958769679069519,0.0,0.5015005469322205,0.0,0.12466822564601898,0.9427285969257355,0.952288681268692,0.952288681268692
