idx,tag,num_faces,maxIoU,meanCov,maxCov,anyCover,score,overlap,area,face_inside_penalty,face_conflict_penalty,svg_penalty
173,improved_hybrid,1,0.13034550845623016,0.0,0.0,0.0,0.24003583267331138,0.013683455064892769,0.13643617928028107,0.0,0.0,0.0
174,improved_hybrid,1,0.16041918098926544,0.0,0.0,0.0,0.4124420689069668,0.019111943111056462,0.16389353573322296,0.0,0.0,0.0
175,improved_hybrid,1,0.13844023644924164,0.0,0.0,0.0,0.5113906294107436,0.011439703404903412,0.12817560136318207,0.0,0.0,0.09045135974884033
176,improved_hybrid,1,0.1500350683927536,0.0,0.0,0.0,0.3741406425833703,0.016801871359348297,0.16593407094478607,0.0,0.0,0.0
177,improved_hybrid,1,0.1601560264825821,0.16215917468070984,0.16215917468070984,1.0,0.29593023704364896,0.02485486282967031,0.14309349656105042,0.0,0.002369080437347293,0.0
178,improved_hybrid,1,0.17914022505283356,0.0,0.0,0.0,0.15418699309229844,0.014984143897891045,0.13862408697605133,0.0,0.0,0.0
179,improved_hybrid,1,0.1748163104057312,0.0,0.0,0.0,0.10845658369362354,0.010845658369362354,0.09135716408491135,0.0,0.0,0.0
180,improved_hybrid,1,0.12230324745178223,0.0,0.0,0.0,0.6112634699791669,0.01280211191624403,0.16907992959022522,0.0,0.0,0.0
181,improved_hybrid,1,0.11736522614955902,0.0,0.0,0.0,0.1066376082599163,0.01066376082599163,0.11442598700523376,0.0,0.0,0.0
182,improved_hybrid,1,0.12039460986852646,0.0,0.0,0.0,0.07996976375579834,0.007996976375579834,0.0982634425163269,0.0,0.0,0.0
183,improved_hybrid,1,0.13834109902381897,0.0,0.0,0.0,0.07868911139667034,0.007868911139667034,0.08717939257621765,0.0,0.0,0.0
184,improved_hybrid,1,0.1393955945968628,0.0,0.0,0.0,0.14453373644500986,0.012378177139908075,0.11869493126869202,0.0,0.0,0.0
185,improved_hybrid,1,0.12844087183475494,0.0,0.0,0.0,0.5874668790027499,0.019032723736017942,0.18064787983894348,0.0,0.0,0.0
186,improved_hybrid,1,0.14218494296073914,0.0,0.0,0.0,0.256061851978302,0.0256061851978302,0.16151554882526398,0.0,0.0,0.0
187,improved_hybrid,1,0.13203619420528412,0.0,0.0,0.0,0.43904011398553866,0.0141146220266819,0.1553931087255478,0.0,0.0,0.0
188,improved_hybrid,1,0.15877464413642883,0.0,0.0,0.0,0.21525599528104067,0.021525599528104067,0.145084410905838,0.0,0.0,0.0
189,improved_hybrid,1,0.16558794677257538,0.0,0.0,0.0,0.17803088501095765,0.011149678379297256,0.10441117733716965,0.0,0.0,0.013210296630859375
190,improved_hybrid,1,0.15968140959739685,0.0,0.0,0.0,0.3434370420873166,0.014982705935835838,0.1476026177406311,0.0,0.0,0.0
191,improved_hybrid,1,0.16495150327682495,0.0,0.0,0.0,0.5279092796146871,0.023482123389840126,0.16639968752861023,0.0,0.0,0.0
192,improved_hybrid,1,0.18831594288349152,0.0,0.0,0.0,0.3457137420773506,0.018024969846010208,0.14550745487213135,0.0,0.0,0.05515468120574951
193,improved_hybrid,1,0.189411461353302,0.0,0.0,0.0,0.18662571907043457,0.018662571907043457,0.1358642876148224,0.0,0.0,0.0
194,improved_hybrid,1,0.14041416347026825,0.0,0.0,0.0,0.1310609106440097,0.013106091064400971,0.1415071338415146,0.0,0.0,0.0
